,recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,spec
0,003bec244,14,1,44.544,2531.25,45.1307,5531.25,"[[-0.7216088  -0.7493221  -0.7841035  ... -0.23642132 -0.5941928
  -0.5365056 ]
 [-0.68285793 -0.7282582  -0.7591775  ... -0.19282477 -0.55185324
  -0.4497411 ]
 [-0.5278545  -0.64400274 -0.6594733  ... -0.01843844 -0.38249505
  -0.102683  ]
 ...
 [-0.8805203  -0.8782094  -0.8663569  ... -0.8799095  -0.8804168
  -0.8726745 ]
 [-0.8801226  -0.87931484 -0.8706793  ... -0.8807213  -0.8807566
  -0.87487465]
 [-0.8800231  -0.8795912  -0.87175995 ... -0.8809242  -0.88084155
  -0.8754248 ]]"
1,006ab765f,23,1,39.9615,7235.16,46.0452,11283.4,"[[31.963266   35.230072    9.296914   ... -0.5878858  -0.68615466
  -0.3410461 ]
 [32.046585   35.0516     10.28215    ... -0.58437926 -0.67787045
  -0.30454442]
 [32.379868   34.337723   14.223095   ... -0.5703534  -0.6447338
  -0.15853764]
 ...
 [-0.8823722  -0.88207114 -0.88295126 ... -0.88268995 -0.8834399
  -0.88348573]
 [-0.8827516  -0.88236314 -0.8828725  ... -0.88316864 -0.8836339
  -0.88343865]
 [-0.88284636 -0.8824361  -0.88285285 ... -0.8832883  -0.8836824
  -0.8834268 ]]"
2,007f87ba2,12,1,39.136,562.5,42.272,3281.25,"[[ 0.2718212   0.21119407  0.20731866 ...  0.20202509  1.5040365
   8.253061  ]
 [ 0.3414394   0.20978047  0.15810873 ...  0.22487004  1.7337793
   9.339745  ]
 [ 0.6199122   0.20412596 -0.03873101 ...  0.3162499   2.652751
  13.686476  ]
 ...
 [-0.882743   -0.88301444 -0.8830903  ... -0.8832308  -0.88310933
  -0.8833029 ]
 [-0.8830728  -0.8829012  -0.8831811  ... -0.88325024 -0.8832137
  -0.88336235]
 [-0.8831553  -0.88287294 -0.8832038  ... -0.88325506 -0.8832398
  -0.8833772 ]]"
3,0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,"[[-0.63793176 -0.5749252  -0.5875667  ... -0.11150333 -0.2736124
  -0.53014004]
 [-0.56945574 -0.55806327 -0.59145474 ... -0.09523804 -0.2724035
  -0.531444  ]
 [-0.29555157 -0.4906156  -0.6070069  ... -0.03017681 -0.26756805
  -0.53665984]
 ...
 [-0.8814984  -0.88173616 -0.88186115 ... -0.880659   -0.8812995
  -0.88160455]
 [-0.88194364 -0.88142    -0.88171935 ... -0.88131326 -0.8814097
  -0.8817234 ]
 [-0.8820549  -0.88134104 -0.88168395 ... -0.8814769  -0.88143724
  -0.8817532 ]]"
4,009b760e6,10,1,50.0854,947.461,52.5293,10852.7,"[[ 2.1269171   2.3145115   1.0600433  ... -0.26883075 -0.557428
  -0.59574074]
 [ 2.0948613   2.2828817   0.8675327  ... -0.2346646  -0.5090071
  -0.56406945]
 [ 1.9666377   2.156363    0.09749029 ... -0.09800009 -0.3153234
  -0.43738425]
 ...
 [-0.8809745  -0.88100356 -0.8803734  ... -0.88123035 -0.881459
  -0.88190246]
 [-0.8812937  -0.8813605  -0.88112456 ... -0.881791   -0.88168496
  -0.88215286]
 [-0.8813735  -0.88144976 -0.8813123  ... -0.8819311  -0.8817414
  -0.8822155 ]]"
5,00b404881,8,1,0.0747,3750.0,4.1973,5531.25,"[[ 0.2675094   0.99663526 -0.292843   ... -0.75382906 -0.6481404
  -0.78099597]
 [ 0.07187279  0.7528749  -0.32267886 ... -0.7574693  -0.62811244
  -0.7822294 ]
 [-0.71067387 -0.22216672 -0.44202238 ... -0.7720302  -0.54800075
  -0.7871633 ]
 ...
 [-0.88214546 -0.88016665 -0.8804139  ... -0.8822632  -0.8818501
  -0.88113225]
 [-0.8822609  -0.87982404 -0.8812633  ... -0.8822286  -0.8821649
  -0.88118845]
 [-0.8822897  -0.8797385  -0.8814756  ... -0.8822199  -0.8822437
  -0.8812025 ]]"
6,00d442df7,0,1,19.3653,5906.25,20.16,8250.0,"[[-0.82306653 -0.82821494 -0.8582939  ... -0.7475684  -0.8300826
  -0.78302056]
 [-0.8230582  -0.8143987  -0.85046047 ... -0.7411889  -0.8178746
  -0.77485114]
 [-0.8230249  -0.75913346 -0.8191264  ... -0.7156708  -0.76904285
  -0.7421737 ]
 ...
 [-0.8828709  -0.8831162  -0.8826027  ... -0.8822911  -0.8823098
  -0.8820396 ]
 [-0.88303465 -0.8831512  -0.8828928  ... -0.8827495  -0.8827385
  -0.88225764]
 [-0.88307554 -0.88315994 -0.88296527 ... -0.8828641  -0.8828456
  -0.8823121 ]]"
7,011f25080,18,1,5.6853,3187.5,6.3787,5062.5,"[[ 20.40535      8.184968    12.820396   ...  23.588747    66.79077
   37.130344  ]
 [ 22.53874     10.904778    16.536386   ...  35.43235     96.417145
   50.79195   ]
 [ 31.072308    21.784021    31.400347   ...  82.80677    214.92264
  105.43836   ]
 ...
 [ -0.87876993  -0.8805813   -0.8808694  ...  -0.8690433   -0.8761587
   -0.88065016]
 [ -0.87966955  -0.8810612   -0.8814333  ...  -0.8760003   -0.8789886
   -0.8814206 ]
 [ -0.8798945   -0.8811811   -0.88157433 ...  -0.8777396   -0.8796961
   -0.8816132 ]]"
8,015113cad,15,1,50.0533,93.75,53.3973,1125.0,"[[-0.31440684  0.18770179 -0.05557249 ...  0.00210068 -0.37422466
  -0.3975675 ]
 [-0.28201318  0.2897389   0.05397136 ...  0.00339246 -0.35670152
  -0.31418803]
 [-0.15243845  0.6978876   0.4921469  ...  0.00855944 -0.28660887
   0.01932996]
 ...
 [-0.86486477 -0.84453434 -0.8810515  ... -0.8808303  -0.84614426
  -0.8711552 ]
 [-0.87170917 -0.8618265  -0.8821844  ... -0.8817866  -0.85931724
  -0.8765723 ]
 [-0.87342024 -0.86614954 -0.88246757 ... -0.88202566 -0.86261046
  -0.8779266 ]]"
9,0151b7d20,1,1,46.032,3843.75,46.928,5625.0,"[[-0.7047849  -0.69213486 -0.3162343  ... -0.5438617  -0.7623421
  -0.557318  ]
 [-0.7033928  -0.6796474  -0.21711965 ... -0.5194643  -0.7523565
  -0.5524985 ]
 [-0.6978245  -0.6296977   0.17933896 ... -0.421875   -0.7124142
  -0.5332207 ]
 ...
 [-0.8832283  -0.8829716  -0.8830173  ... -0.8820004  -0.8822519
  -0.8805892 ]
 [-0.8830932  -0.8829429  -0.88295376 ... -0.8822748  -0.882451
  -0.8809503 ]
 [-0.8830594  -0.88293564 -0.8829379  ... -0.8823434  -0.88250065
  -0.8810405 ]]"
10,01b41f92b,6,1,44.24,562.5,46.384,4406.25,"[[ 3.9737294   2.4922593   1.0931729  ... -0.5617241  -0.59495866
   0.08493826]
 [ 4.859466    2.744883    1.3175842  ... -0.53353333 -0.55979955
   0.3764208 ]
 [ 8.402414    3.7553785   2.2152293  ... -0.42077008 -0.41916287
   1.542351  ]
 ...
 [-0.88155365 -0.8819786  -0.8818143  ... -0.8628132  -0.87948173
  -0.8822206 ]
 [-0.8818245  -0.8818253  -0.8819065  ... -0.8675461  -0.88036186
  -0.8822517 ]
 [-0.8818922  -0.881787   -0.8819295  ... -0.8687293  -0.880582
  -0.88225937]]"
11,0201197ec,10,1,43.3575,947.461,45.8014,10852.7,"[[14.087274    8.183146    4.561916   ...  1.1501642   3.5543096
   1.2854114 ]
 [18.115358    9.315971    4.9546366  ...  1.4653466   3.897964
   1.2201462 ]
 [34.227695   13.847273    6.525519   ...  2.7260754   5.2725806
   0.95908666]
 ...
 [-0.87973857 -0.8826325  -0.8828387  ... -0.8814005  -0.8791802
  -0.8809545 ]
 [-0.87791204 -0.8826913  -0.88252574 ... -0.88096446 -0.87877065
  -0.88180566]
 [-0.87745535 -0.88270605 -0.88244754 ... -0.8808555  -0.8786683
  -0.88201845]]"
12,0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5,"[[-0.60443705 -0.45064986 -0.41826048 ... -0.6395722  -0.524437
  -0.59373295]
 [-0.6079759  -0.4530485  -0.41947672 ... -0.6088101  -0.5204609
  -0.621599  ]
 [-0.6221312  -0.462643   -0.4243417  ... -0.48576176 -0.5045568
  -0.7330632 ]
 ...
 [-0.8798539  -0.8796458  -0.8654183  ... -0.8780862  -0.8796636
  -0.8798679 ]
 [-0.88028353 -0.880341   -0.87097466 ... -0.87902904 -0.8800141
  -0.8803568 ]
 [-0.88039094 -0.8805148  -0.87236375 ... -0.8792647  -0.8801017
  -0.880479  ]]"
13,0268057eb,0,1,25.4987,5906.25,26.2933,8250.0,"[[ 6.6105323   5.206247    6.8595076  ...  9.219962    2.8870423
   1.1913705 ]
 [ 7.2092104   5.110984    7.13215    ...  9.714039    3.011534
   1.0705941 ]
 [ 9.60392     4.729933    8.222723   ... 11.690343    3.5094995
   0.58748806]
 ...
 [-0.8642595  -0.86717284 -0.87039715 ... -0.8081224  -0.8511769
  -0.8692447 ]
 [-0.86609095 -0.8699743  -0.86419535 ... -0.824309   -0.8559799
  -0.87119865]
 [-0.8665488  -0.8706747  -0.86264485 ... -0.8283557  -0.85718066
  -0.87168705]]"
14,0275e127d,11,1,11.9989,1808.79,13.1367,5684.77,"[[-0.8007403  -0.8097973  -0.8153203  ... -0.780264   -0.6882832
  -0.5250534 ]
 [-0.7971271  -0.8023966  -0.7954236  ... -0.7851358  -0.6975601
  -0.54423463]
 [-0.78267443 -0.77279365 -0.71583706 ... -0.8046229  -0.7346674
  -0.6209597 ]
 ...
 [-0.8811012  -0.8808877  -0.8793897  ... -0.8757577  -0.8802662
  -0.88128537]
 [-0.8817059  -0.88111836 -0.8798457  ... -0.87817585 -0.88114285
  -0.8818156 ]
 [-0.88185704 -0.88117605 -0.8799597  ... -0.87878036 -0.8813621
  -0.8819481 ]]"
15,0295e3234,11,1,5.1606,1808.79,6.2984,5684.77,"[[-0.8133476  -0.81121236 -0.71708596 ... -0.78765506 -0.84341514
  -0.8312711 ]
 [-0.8184464  -0.80732894 -0.70907533 ... -0.7834398  -0.84058666
  -0.81669277]
 [-0.83884174 -0.7917947  -0.6770328  ... -0.7665789  -0.8292728
  -0.7583793 ]
 ...
 [-0.8821904  -0.88251454 -0.88301337 ... -0.8784398  -0.8830136
  -0.8832849 ]
 [-0.88233733 -0.88253796 -0.8828868  ... -0.8798837  -0.8831257
  -0.88310456]
 [-0.88237405 -0.8825438  -0.8828552  ... -0.8802447  -0.88315374
  -0.88305944]]"
16,0297d886e,13,1,57.808,93.75,58.432,843.75,"[[-0.7018117  -0.45535862 -0.21602617 ... -0.5071621  -0.5797153
  -0.74231184]
 [-0.6916714  -0.50097615 -0.3178182  ... -0.46034443 -0.5796745
  -0.7467157 ]
 [-0.6511099  -0.6834461  -0.7249863  ... -0.27307385 -0.57951134
  -0.7643313 ]
 ...
 [-0.8825339  -0.88188845 -0.8820871  ... -0.88252187 -0.88225144
  -0.8820018 ]
 [-0.88211554 -0.8821299  -0.882271   ... -0.88274324 -0.8822859
  -0.8815613 ]
 [-0.882011   -0.8821902  -0.88231695 ... -0.88279855 -0.8822945
  -0.8814511 ]]"
17,02b9a8ab9,12,1,33.9093,562.5,37.0453,3281.25,"[[-0.71677905 -0.5334186  -0.24261697 ... -0.8225531  -0.73149604
  -0.7059122 ]
 [-0.6642307  -0.45796022 -0.24996828 ... -0.82256347 -0.7199761
  -0.7118485 ]
 [-0.45403737 -0.15612684 -0.27937362 ... -0.8226053  -0.67389625
  -0.7355937 ]
 ...
 [-0.8833725  -0.88310397 -0.88292664 ... -0.8836363  -0.8835417
  -0.8828381 ]
 [-0.88294125 -0.8827772  -0.88318634 ... -0.88357043 -0.883355
  -0.88301384]
 [-0.8828334  -0.8826955  -0.88325125 ... -0.8835539  -0.88330835
  -0.88305783]]"
18,0313e82cf,16,4,21.472,3093.75,23.3067,4593.75,"[[-0.81353694 -0.76622814 -0.7834033  ... -0.7659769  -0.79720896
  -0.81288815]
 [-0.81239307 -0.7632266  -0.7752587  ... -0.75247496 -0.80256945
  -0.8021603 ]
 [-0.8078176  -0.75122046 -0.74268055 ... -0.6984672  -0.82401145
  -0.75924903]
 ...
 [-0.8812418  -0.88326794 -0.8837367  ... -0.88285404 -0.8800755
  -0.8829732 ]
 [-0.88297236 -0.8837574  -0.8838641  ... -0.88325846 -0.8819257
  -0.88308483]
 [-0.883405   -0.88387984 -0.88389593 ... -0.8833596  -0.88238823
  -0.8831127 ]]"
19,03b96f209,16,4,30.9333,3093.75,32.768,4593.75,"[[-0.6602566  -0.12332989 -0.5436077  ... -0.5744233  -0.80232614
  -0.7358056 ]
 [-0.64880115 -0.08838335 -0.51847816 ... -0.5855616  -0.80815613
  -0.72754097]
 [-0.6029792   0.05140271 -0.41795996 ... -0.63011444 -0.8314759
  -0.69448256]
 ...
 [-0.881792   -0.8819115  -0.85780054 ... -0.8812379  -0.88201714
  -0.8800628 ]
 [-0.8820383  -0.88210696 -0.86866915 ... -0.882148   -0.8825465
  -0.8810944 ]
 [-0.8820998  -0.8821558  -0.8713863  ... -0.8823755  -0.88267875
  -0.88135225]]"
20,03b96f209,16,4,49.632,3093.75,51.4667,4593.75,"[[-0.7409007  -0.75884825 -0.60395837 ... -0.5791971  -0.56585133
  -0.50657076]
 [-0.7384589  -0.7488925  -0.5835295  ... -0.5375098  -0.5050843
  -0.48822463]
 [-0.7286912  -0.70906943 -0.5018139  ... -0.37076062 -0.26201603
  -0.41483995]
 ...
 [-0.8814429  -0.8820206  -0.8815995  ... -0.88219875 -0.88253504
  -0.8816785 ]
 [-0.8821722  -0.882306   -0.88228446 ... -0.88266504 -0.8831314
  -0.8818721 ]
 [-0.88235456 -0.88237727 -0.8824558  ... -0.88278157 -0.88328046
  -0.8819205 ]]"
21,03d77fede,0,1,44.4107,5906.25,45.2053,8250.0,"[[ 0.5795577   0.23063633  0.6309759  ...  4.4905796   0.8168804
  -0.56335825]
 [ 0.53755707  0.2651897   0.90895426 ...  5.511516    1.1040859
  -0.5449897 ]
 [ 0.36955437  0.40340316  2.0208678  ...  9.595261    2.2529085
  -0.4715159 ]
 ...
 [-0.88232964 -0.8812578  -0.8804294  ... -0.88230973 -0.8830652
  -0.88338256]
 [-0.88235044 -0.88225085 -0.8815209  ... -0.8825094  -0.8830298
  -0.8834485 ]
 [-0.88235563 -0.8824991  -0.88179386 ... -0.88255936 -0.883021
  -0.88346493]]"
22,043356ff8,18,1,0.1227,3187.5,0.816,5062.5,"[[-0.7087336  -0.7304971  -0.6883895  ... -0.7735229  -0.76864177
  -0.77116466]
 [-0.7104931  -0.73180485 -0.6905713  ... -0.74351525 -0.7474508
  -0.7454167 ]
 [-0.717531   -0.7370357  -0.69929844 ... -0.6234846  -0.6626871
  -0.6424252 ]
 ...
 [-0.88130677 -0.88121563 -0.88139194 ... -0.88212633 -0.88199145
  -0.8820611 ]
 [-0.88113695 -0.88110644 -0.88116544 ... -0.88136977 -0.8816895
  -0.8815242 ]
 [-0.88109446 -0.88107914 -0.8811088  ... -0.8811806  -0.881614
  -0.88139   ]]"
23,04975ecd8,19,1,54.384,281.25,55.936,2812.5,"[[-0.35338604 -0.560708   -0.71918523 ... -0.15930435  1.3460281
   0.2193328 ]
 [-0.2834236  -0.5367399  -0.7095862  ... -0.14226063  1.2987262
   0.234897  ]
 [-0.00357391 -0.44086745 -0.6711901  ... -0.0740857   1.1095188
   0.29715377]
 ...
 [-0.88388103 -0.8836113  -0.8841495  ... -0.88373876 -0.8836539
  -0.8837151 ]
 [-0.88397557 -0.8838618  -0.88429576 ... -0.8836302  -0.883529
  -0.8837654 ]
 [-0.88399917 -0.8839244  -0.8843323  ... -0.88360304 -0.8834978
  -0.88377804]]"
