,recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,mspec_db,chroma_db,stft_db
0,003bec244,14,1,44.544,2531.25,45.1307,5531.25,"[[-29.944086 -29.54014  -31.48041  ... -22.044724 -27.420116 -25.748533]
 [-28.922972 -29.031013 -30.867113 ... -21.840052 -26.66155  -25.080965]
 [-24.838514 -26.994507 -28.41392  ... -21.02136  -23.627283 -22.410698]
 ...
 [-42.76376  -41.66321  -37.80477  ... -42.30613  -42.731724 -40.78351 ]
 [-42.467426 -42.23977  -38.7798   ... -42.9762   -42.97865  -40.96293 ]
 [-42.393345 -42.383907 -39.023556 ... -43.143715 -43.040382 -41.007786]]","[[-24.453102  -23.385326  -19.578325  ...  -1.8366787  -1.1623391
   -1.045807 ]
 [-24.62187   -23.580933  -19.607641  ...  -1.9640704  -1.203403
   -1.1482637]
 [-24.790636  -23.77654   -19.636957  ...  -2.0914621  -1.2444669
   -1.2507205]
 ...
 [-29.211227  -28.121494  -22.441326  ...  -3.8327115  -3.5278065
   -4.264308 ]
 [-29.310556  -28.206793  -22.516258  ...  -3.855053   -3.5533504
   -4.2842097]
 [-29.409885  -28.29209   -22.591192  ...  -3.8773947  -3.5788946
   -4.304111 ]]","[[-31.428196 -32.94088  -34.383667 ... -26.787071 -30.039543 -29.131596]
 [-30.34369  -31.775751 -30.791653 ... -26.42274  -28.951504 -28.916277]
 [-36.801113 -37.102856 -36.664356 ... -34.303326 -40.924633 -37.289776]
 ...
 [-49.4137   -47.88003  -45.48227  ... -50.08001  -50.421486 -47.35718 ]
 [-50.998856 -48.744343 -47.390846 ... -53.480263 -51.327618 -50.983498]
 [-51.072594 -48.995377 -47.95545  ... -47.72238  -47.642147 -46.71574 ]]"
1,006ab765f,23,1,39.9615,7235.16,46.0452,11283.4,"[[-14.063939 -13.551413 -19.256004 ... -35.169994 -37.15481  -31.584717]
 [-14.08067  -13.546484 -18.83663  ... -35.187485 -36.91289  -31.45243 ]
 [-14.147597 -13.52677  -17.159134 ... -35.257446 -35.945213 -30.923286]
 ...
 [-53.472965 -53.12139  -54.463066 ... -53.98519  -55.28253  -55.374664]
 [-54.07408  -53.510128 -54.274452 ... -54.831673 -55.69889  -55.292816]
 [-54.22436  -53.60731  -54.2273   ... -55.043293 -55.80298  -55.272354]]","[[-3.9856358  -3.3799872  -2.2499917  ... -3.6593623  -4.455497
  -3.647327  ]
 [-3.8619478  -3.3435752  -2.232577   ... -3.6897001  -4.450241
  -3.6546621 ]
 [-3.7382596  -3.3071635  -2.2151625  ... -3.720038   -4.4449854
  -3.6619973 ]
 ...
 [-0.71382093 -1.3397344  -1.0182732  ... -1.4248312  -2.5278027
  -3.3212025 ]
 [-0.71283025 -1.330088   -1.0208126  ... -1.3608282  -2.496365
  -3.3262131 ]
 [-0.7118396  -1.3204416  -1.023352   ... -1.2968252  -2.4649274
  -3.3312237 ]]","[[-16.067139 -16.579441 -21.948366 ... -36.20102  -38.33329  -33.589123]
 [-21.591093 -21.20187  -22.411499 ... -39.302917 -38.85558  -38.26227 ]
 [-33.8191   -34.798878 -33.606636 ... -44.931705 -46.430317 -45.37534 ]
 ...
 [-58.666306 -58.083977 -58.168514 ... -57.568638 -58.88562  -61.394257]
 [-59.12527  -57.88153  -57.239925 ... -57.431885 -57.34197  -58.23875 ]
 [-56.871933 -56.871933 -59.248604 ... -58.52169  -56.22436  -62.86251 ]]"
2,007f87ba2,12,1,39.136,562.5,42.272,3281.25,"[[-35.684315 -36.580364 -36.661636 ... -37.07898  -36.115097 -27.171175]
 [-35.569073 -36.42572  -36.784485 ... -37.147194 -35.375362 -26.754177]
 [-35.10811  -35.80715  -37.275887 ... -37.42006  -32.41643  -25.086185]
 ...
 [-61.135498 -61.556976 -61.670013 ... -61.83768  -61.64469  -62.114433]
 [-61.689987 -61.329178 -61.894955 ... -61.85891  -61.794464 -62.128784]
 [-61.82861  -61.27223  -61.95119  ... -61.864216 -61.831905 -62.13237 ]]","[[ -9.486548   -8.426069  -11.021532  ...  -8.67343    -6.7406883
  -13.271513 ]
 [ -9.863047   -8.427488  -11.072096  ...  -8.830976   -7.0806003
  -13.48925  ]
 [-10.239545   -8.428908  -11.122661  ...  -8.98852    -7.420512
  -13.706987 ]
 ...
 [-18.270285  -19.857973  -28.799543  ... -23.82679   -23.67884
  -26.347574 ]
 [-18.567162  -20.551323  -29.246368  ... -24.153158  -23.935083
  -26.600473 ]
 [-18.864038  -21.244673  -29.693193  ... -24.479527  -24.191328
  -26.853373 ]]","[[-38.457386 -39.250862 -39.292217 ... -37.594616 -36.47144  -29.473711]
 [-44.89535  -41.174194 -39.173805 ... -31.201965 -34.260735 -36.452152]
 [-47.535213 -45.156025 -42.845413 ... -39.68092  -42.21848  -40.990856]
 ...
 [-66.76166  -64.871925 -65.10339  ... -62.623062 -64.20116  -65.48925 ]
 [-64.86943  -63.597855 -63.269833 ... -63.118893 -65.5011   -65.19983 ]
 [-66.23862  -64.33781  -62.459938 ... -68.98514  -66.14129  -67.46185 ]]"
3,0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,"[[-18.213322 -15.251486 -15.522239 ... -11.498683 -12.318049 -15.075167]
 [-17.31612  -15.077781 -15.63177  ... -11.528564 -12.365862 -15.12258 ]
 [-13.727313 -14.382959 -16.069897 ... -11.648088 -12.557111 -15.312233]
 ...
 [-33.86706  -34.149208 -34.452034 ... -33.088642 -33.65773  -33.974262]
 [-34.424133 -33.810635 -34.211864 ... -33.73885  -33.781418 -34.112675]
 [-34.563404 -33.72599  -34.15182  ... -33.9014   -33.81234  -34.147278]]","[[ -4.0246634  -4.580097   -4.9695506 ... -10.039771   -8.570409
   -3.0601983]
 [ -3.9203134  -4.5337577  -4.958628  ...  -9.982688   -8.562081
   -2.8778245]
 [ -3.8159633  -4.487418   -4.947706  ...  -9.925605   -8.553754
   -2.6954508]
 ...
 [ -2.0212152  -4.829801   -4.4171257 ...  -9.616202   -9.870364
   -7.3057137]
 [ -2.0225127  -4.821856   -4.420824  ...  -9.632397   -9.91041
   -7.4966607]
 [ -2.0238101  -4.813911   -4.424523  ...  -9.648591   -9.950455
   -7.6876082]]","[[-19.732197 -19.913256 -19.73383  ... -19.330156 -18.610043 -20.672712]
 [-19.263365 -19.911987 -18.904806 ... -25.400862 -22.780687 -23.791903]
 [-27.348927 -24.907442 -25.242485 ... -23.741117 -26.303566 -28.58955 ]
 ...
 [-39.386913 -38.165104 -40.833298 ... -39.105408 -38.753014 -39.203747]
 [-41.461956 -38.741703 -40.612617 ... -36.89984  -38.74606  -38.64261 ]
 [-42.68396  -38.696255 -39.002186 ... -38.00841  -40.031517 -38.11927 ]]"
4,009b760e6,10,1,50.0854,947.461,52.5293,10852.7,"[[-19.20329  -17.409256 -19.761925 ... -24.598595 -27.952034 -28.247927]
 [-19.23133  -17.46833  -20.764042 ... -24.224186 -27.368496 -27.915573]
 [-19.343489 -17.704628 -24.772512 ... -22.726557 -25.034344 -26.586151]
 ...
 [-44.7634   -44.79821  -44.246025 ... -45.01514  -45.248608 -45.750404]
 [-45.130856 -45.154587 -44.972946 ... -45.64331  -45.502457 -46.064655]
 [-45.222717 -45.243683 -45.15468  ... -45.800354 -45.56592  -46.14322 ]]","[[-2.5808494 -2.7056158 -2.1449702 ... -1.1806765 -2.4554877 -1.9780939]
 [-2.6967916 -2.7830567 -2.1510797 ... -1.265778  -2.5761523 -1.9823053]
 [-2.812734  -2.8604977 -2.1571894 ... -1.3508793 -2.696817  -1.9865166]
 ...
 [-6.0414095 -4.219666  -3.9247184 ... -5.684814  -6.8097005 -1.7659914]
 [-6.076582  -4.196628  -3.9428554 ... -5.7639604 -6.7838726 -1.7565075]
 [-6.1117544 -4.17359   -3.9609926 ... -5.8431067 -6.7580442 -1.7470236]]","[[-24.51978  -23.799303 -26.561966 ... -30.522266 -33.92388  -33.52549 ]
 [-29.581894 -27.074852 -27.17209  ... -29.938656 -30.546352 -31.955124]
 [-30.577906 -30.021578 -29.277624 ... -36.06869  -34.599476 -33.854195]
 ...
 [-52.126366 -53.79809  -53.69988  ... -51.711536 -50.126247 -53.78042 ]
 [-51.93064  -53.698025 -53.582844 ... -55.65414  -51.192924 -51.13855 ]
 [-51.268856 -54.11894  -51.529377 ... -52.863403 -52.4406   -52.531662]]"
5,00b404881,8,1,0.0747,3750.0,4.1973,5531.25,"[[-40.28712  -36.63332  -40.74078  ... -47.29646  -44.797436 -48.616512]
 [-42.324276 -37.455738 -40.988735 ... -47.449005 -44.485424 -48.923225]
 [-50.4729   -40.7454   -41.98056  ... -48.05919  -43.237377 -50.150085]
 ...
 [-63.125877 -61.133602 -61.32312  ... -63.23468  -62.768177 -61.98814 ]
 [-63.34031  -60.865    -62.149952 ... -63.190876 -63.148617 -62.142117]
 [-63.393913 -60.79785  -62.356663 ... -63.179924 -63.24373  -62.18061 ]]","[[-14.07969   -21.091331  -16.704527  ...  -6.9274     -8.4378
  -10.320496 ]
 [-14.279606  -21.229172  -16.869673  ...  -6.7369742  -8.487275
  -10.510215 ]
 [-14.479523  -21.367014  -17.034819  ...  -6.5465484  -8.53675
  -10.699935 ]
 ...
 [-25.229557  -32.230114  -32.627407  ... -24.543394  -23.319231
  -20.240921 ]
 [-25.558043  -32.511215  -33.16243   ... -25.83633   -24.281485
  -20.75215  ]
 [-25.886526  -32.792316  -33.697453  ... -27.129267  -25.243738
  -21.263376 ]]","[[-45.831352 -44.051186 -43.92094  ... -50.56613  -46.99929  -51.527267]
 [-47.36253  -54.632492 -50.40513  ... -51.34727  -49.013283 -51.058155]
 [-50.478096 -54.25177  -52.85059  ... -52.0179   -54.298283 -57.88388 ]
 ...
 [-69.85242  -64.206696 -66.16416  ... -64.95418  -70.07971  -71.86085 ]
 [-69.153595 -64.33665  -70.13879  ... -66.82087  -66.910355 -65.63843 ]
 [-63.479034 -64.29772  -72.77424  ... -60.84228  -63.34219  -67.081665]]"
6,00d442df7,0,1,19.3653,5906.25,20.16,8250.0,"[[-44.86352  -45.50539  -50.054855 ... -41.239697 -47.524673 -43.70826 ]
 [-44.74318  -44.714367 -49.11687  ... -41.045624 -46.462418 -43.563602]
 [-44.261806 -41.550274 -45.36495  ... -40.269333 -42.21338  -42.984974]
 ...
 [-57.598125 -58.155025 -57.311516 ... -56.754017 -56.77427  -56.412273]
 [-57.865234 -58.14554  -57.687004 ... -57.435078 -57.424522 -56.72255 ]
 [-57.93201  -58.14317  -57.780876 ... -57.605343 -57.587082 -56.80012 ]]","[[-23.008854  -16.34816    -7.374797  ... -32.440216  -29.241104
  -24.92421  ]
 [-22.703764  -15.467641   -6.7673182 ... -32.357853  -29.527382
  -25.0582   ]
 [-22.398672  -14.587122   -6.1598396 ... -32.27549   -29.813658
  -25.192192 ]
 ...
 [ -3.4567165  -1.2774347  -4.533495  ... -14.695345  -14.08311
  -13.20566  ]
 [ -3.2545574  -1.3598814  -4.4021635 ... -13.903305  -13.407929
  -12.455207 ]
 [ -3.0523984  -1.4423282  -4.270832  ... -13.111265  -12.732749
  -11.704754 ]]","[[-48.972523 -49.274868 -53.72586  ... -46.57661  -51.47376  -48.183277]
 [-52.31488  -51.607437 -55.195053 ... -49.161697 -50.86805  -48.67617 ]
 [-55.057518 -57.52502  -55.035072 ... -51.786488 -52.48697  -52.792282]
 ...
 [-63.021828 -63.6148   -64.65881  ... -66.73199  -63.604782 -62.617107]
 [-63.494057 -64.15     -63.43023  ... -62.996834 -62.70505  -62.223255]
 [-62.361656 -64.34859  -63.34104  ... -63.473392 -61.952168 -63.32644 ]]"
7,011f25080,18,1,5.6853,3187.5,6.3787,5062.5,"[[-29.401829 -33.881172 -32.073284 ... -32.21289  -25.158543 -26.953749]
 [-28.704073 -32.80502  -31.031748 ... -30.390139 -23.709454 -25.812025]
 [-25.913054 -28.500406 -26.865606 ... -23.099134 -17.913103 -21.245129]
 ...
 [-62.493893 -63.77996  -63.973167 ... -59.625103 -61.806965 -63.808006]
 [-63.097656 -64.25152  -64.55598  ... -62.085857 -63.252277 -64.589584]
 [-63.248596 -64.36941  -64.701675 ... -62.701046 -63.613605 -64.78498 ]]","[[ -5.188004  -17.93529   -25.368038  ...  -5.2060657 -10.174767
  -10.592231 ]
 [ -4.774265  -17.713707  -25.54878   ...  -5.196053  -10.6073
  -11.047471 ]
 [ -4.3605256 -17.492126  -25.729523  ...  -5.18604   -11.039833
  -11.502712 ]
 ...
 [-16.004717  -26.900822  -39.11639   ...  -9.484785  -23.799644
  -26.283789 ]
 [-16.575354  -27.346275  -39.085537  ...  -9.822505  -24.08165
  -26.550755 ]
 [-17.14599   -27.791729  -39.05468   ... -10.160226  -24.363655
  -26.817719 ]]","[[-34.70399  -40.419342 -39.299313 ... -36.78216  -33.72285  -32.82544 ]
 [-41.135788 -45.78968  -44.16404  ... -38.413635 -37.59248  -41.605434]
 [-48.478718 -49.510162 -51.39695  ... -47.519863 -48.393208 -50.06738 ]
 ...
 [-69.16423  -70.781456 -68.95924  ... -67.36871  -70.65212  -68.228836]
 [-66.665184 -71.89705  -68.30244  ... -70.1847   -70.29961  -69.302765]
 [-67.72959  -67.32678  -68.62378  ... -70.8008   -68.47337  -68.56248 ]]"
8,015113cad,15,1,50.0533,93.75,53.3973,1125.0,"[[-16.814203  -14.149476  -15.135497  ... -14.858976  -18.707632
  -20.31947  ]
 [-16.608871  -13.818672  -14.636613  ... -14.815598  -18.49684
  -19.376587 ]
 [-15.7875395 -12.495457  -12.641073  ... -14.642082  -17.653671
  -15.60506  ]
 ...
 [-34.078896  -30.400976  -37.408657  ... -37.308853  -30.317677
  -35.518345 ]
 [-35.348354  -32.677235  -38.679974  ... -38.286427  -31.881508
  -37.11889  ]
 [-35.665718  -33.2463    -38.997803  ... -38.53082   -32.272465
  -37.519024 ]]","[[ -3.617241  -10.339618   -7.483941  ...  -3.3398669  -5.7908616
   -6.7129965]
 [ -3.523197  -10.234381   -7.3113446 ...  -3.5419936  -5.980239
   -6.601717 ]
 [ -3.429153  -10.129144   -7.138748  ...  -3.7441204  -6.169616
   -6.4904375]
 ...
 [ -5.6858582  -7.9688807  -3.4924572 ...  -6.212951  -11.9927025
   -3.2835636]
 [ -5.63823    -7.703901   -3.5739775 ...  -6.2664247 -11.965818
   -3.231779 ]
 [ -5.5906014  -7.4389215  -3.6554976 ...  -6.319898  -11.938935
   -3.1799943]]","[[-22.011753 -18.121763 -21.219204 ... -19.454071 -22.432793 -22.697956]
 [-24.56122  -21.66069  -24.182455 ... -19.353956 -21.937216 -14.865979]
 [-32.064423 -27.083658 -27.804594 ... -24.06428  -22.552612 -16.693596]
 ...
 [-38.732002 -40.22816  -43.246212 ... -41.122395 -40.18851  -42.020462]
 [-43.370796 -45.496307 -42.45546  ... -42.443935 -43.432957 -40.033432]
 [-45.844803 -45.771423 -45.22777  ... -45.622616 -47.637867 -42.903214]]"
9,0151b7d20,1,1,46.032,3843.75,46.928,5625.0,"[[-35.899536 -36.282265 -31.768429 ... -33.650246 -38.355927 -33.652267]
 [-35.9265   -36.01156  -31.335136 ... -33.35649  -38.009495 -33.586143]
 [-36.034336 -34.92873  -29.601969 ... -32.181473 -36.623768 -33.32165 ]
 ...
 [-54.626568 -54.16627  -54.265343 ... -52.8321   -53.15051  -51.35762 ]
 [-54.402912 -54.132023 -54.15956  ... -53.17935  -53.445152 -51.675785]
 [-54.346996 -54.12346  -54.133118 ... -53.266167 -53.518814 -51.755325]]","[[-16.617638 -18.769705 -22.687944 ...  -8.933202 -14.547902 -18.393   ]
 [-16.697632 -18.825657 -22.78084  ...  -9.558811 -15.301159 -19.082773]
 [-16.777628 -18.88161  -22.873737 ... -10.184421 -16.054417 -19.772547]
 ...
 [-19.232365 -19.112757 -22.79882  ... -20.85828  -30.504583 -28.498339]
 [-19.130514 -19.024538 -22.70722  ... -20.940762 -30.530825 -28.491224]
 [-19.028664 -18.93632  -22.615622 ... -21.023243 -30.557064 -28.48411 ]]","[[-40.73751  -41.214108 -36.39755  ... -38.428417 -40.919224 -37.576054]
 [-36.103447 -32.441547 -31.400341 ... -29.62317  -31.790703 -32.419716]
 [-34.76329  -32.288166 -33.262474 ... -30.972956 -32.343918 -33.442734]
 ...
 [-62.70557  -60.340405 -58.98256  ... -59.989273 -59.333477 -60.90955 ]
 [-63.65268  -60.641705 -62.091488 ... -58.901146 -60.673157 -56.482525]
 [-60.718746 -64.20817  -62.96638  ... -59.052094 -60.769695 -59.829193]]"
