,recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,spec
0,003bec244,14,1,44.544,2531.25,45.1307,5531.25,"[[1.5969152e-02 6.8952353e-03 4.4541932e-03 ... 1.2586860e-03
  1.1676165e-03 1.3137328e-03]
 [1.3639845e-02 5.9711728e-03 4.2384979e-03 ... 1.6287396e-03
  1.3125088e-03 1.7151914e-03]
 [4.3226145e-03 2.2749228e-03 3.3757160e-03 ... 3.1089545e-03
  1.8920789e-03 3.3210255e-03]
 ...
 [6.6152621e-05 5.4876622e-05 6.1180210e-05 ... 1.6983961e-04
  1.2039262e-04 2.2054457e-05]
 [7.3768548e-05 4.7619247e-05 5.8831600e-05 ... 1.2523083e-04
  9.0345435e-05 2.5236970e-05]
 [7.5672535e-05 4.5804900e-05 5.8244455e-05 ... 1.1407864e-04
  8.2833641e-05 2.6032600e-05]]"
1,006ab765f,23,1,39.9615,7235.16,46.0452,11283.4,"[[9.6064601e-03 2.7989434e-02 6.6220999e-02 ... 9.7369598e-03
  8.7372456e-03 7.2566313e-03]
 [1.0328364e-02 2.8360823e-02 6.8087496e-02 ... 9.9998061e-03
  8.8460799e-03 7.5915372e-03]
 [1.3215976e-02 2.9846376e-02 7.5553492e-02 ... 1.1051186e-02
  9.2814201e-03 8.9311600e-03]
 ...
 [4.3406012e-06 4.5438533e-06 3.8946619e-06 ... 5.7974175e-06
  8.0589616e-06 3.3873737e-06]
 [3.5022006e-06 3.8604458e-06 3.5159028e-06 ... 4.4906278e-06
  5.1732650e-06 2.6953637e-06]
 [3.2926005e-06 3.6895938e-06 3.4212130e-06 ... 4.1639300e-06
  4.4518397e-06 2.5223615e-06]]"
2,007f87ba2,12,1,39.136,562.5,42.272,3281.25,"[[9.5930777e-02 2.4144638e-01 7.8364432e-02 ... 9.0922014e-04
  1.6404656e-03 2.1089478e-03]
 [1.1283052e-01 3.1250164e-01 8.4873721e-02 ... 1.1645396e-03
  1.9157168e-03 2.5916782e-03]
 [1.8042950e-01 5.9672278e-01 1.1091092e-01 ... 2.1858173e-03
  3.0167212e-03 4.5225997e-03]
 ...
 [7.1430077e-07 5.4439573e-07 4.5625609e-07 ... 6.4091307e-07
  6.4002933e-07 5.0701493e-07]
 [7.7961857e-07 4.3768705e-07 2.9715241e-07 ... 6.6916431e-07
  4.4081671e-07 3.0606782e-07]
 [7.9594804e-07 4.1100989e-07 2.5737651e-07 ... 6.7622710e-07
  3.9101351e-07 2.5583108e-07]]"
3,0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,"[[0.10142235 0.08636865 0.07434975 ... 0.16675614 0.22960608 0.05982491]
 [0.0924405  0.07921137 0.07520548 ... 0.18783249 0.24617359 0.0619525 ]
 [0.0565131  0.05058227 0.07862838 ... 0.27213782 0.3124437  0.07046282]
 ...
 [0.0005598  0.00053858 0.00055962 ... 0.00348845 0.00281944 0.00081057]
 [0.00059929 0.00045513 0.00050047 ... 0.00260626 0.00210456 0.00074759]
 [0.00060916 0.00043427 0.00048569 ... 0.00238571 0.00192584 0.00073185]]"
4,009b760e6,10,1,50.0854,947.461,52.5293,10852.7,"[[1.25540704e-01 3.26309167e-02 1.82776209e-02 ... 8.22704583e-02
  8.57486948e-02 5.06674387e-02]
 [1.19089685e-01 2.96852533e-02 1.79068968e-02 ... 7.67194927e-02
  7.69019574e-02 5.07608354e-02]
 [9.32855904e-02 1.79025885e-02 1.64239965e-02 ... 5.45156263e-02
  4.15150113e-02 5.11344075e-02]
 ...
 [3.89083034e-05 3.41913765e-05 4.27980885e-05 ... 2.86867798e-05
  1.20596842e-05 1.46479506e-05]
 [2.87049261e-05 3.59168589e-05 4.70017148e-05 ... 2.30562382e-05
  1.53442215e-05 1.86055931e-05]
 [2.61540827e-05 3.63482286e-05 4.80526251e-05 ... 2.16486042e-05
  1.61653552e-05 1.95950070e-05]]"
5,00b404881,8,1,0.0747,3750.0,4.1973,5531.25,"[[3.4550563e-04 2.7286328e-04 2.6501331e-04 ... 4.0939016e-05
  5.0392999e-05 3.5297020e-05]
 [2.9750471e-04 2.3901975e-04 2.2995190e-04 ... 4.1780575e-05
  5.0368490e-05 4.1835934e-05]
 [1.0550111e-04 1.0364551e-04 8.9706220e-05 ... 4.5146811e-05
  5.0270450e-05 6.7991605e-05]
 ...
 [4.8010071e-07 3.7502176e-07 3.2137513e-07 ... 2.1171722e-06
  1.1965018e-06 6.2241207e-07]
 [4.5275772e-07 4.0997426e-07 3.9442884e-07 ... 1.7854513e-06
  8.3546706e-07 6.0978431e-07]
 [4.4592196e-07 4.1871237e-07 4.1269232e-07 ... 1.7025212e-06
  7.4520841e-07 6.0662728e-07]]"
6,00d442df7,0,1,19.3653,5906.25,20.16,8250.0,"[[8.35948449e-04 8.54867976e-04 3.34225886e-04 ... 1.07269640e-04
  2.61276698e-04 1.04250590e-04]
 [7.98150140e-04 8.01278336e-04 2.99372448e-04 ... 1.17887845e-04
  2.86973023e-04 1.10510606e-04]
 [6.46956905e-04 5.86919952e-04 1.59958683e-04 ... 1.60360651e-04
  3.89758352e-04 1.35550668e-04]
 ...
 [4.44085208e-06 4.88438991e-06 3.61677326e-06 ... 6.67968652e-06
  7.27504903e-06 4.11451356e-06]
 [3.92123684e-06 4.05849369e-06 3.45487683e-06 ... 4.42595820e-06
  4.40918438e-06 2.91483616e-06]
 [3.79133303e-06 3.85201974e-06 3.41440204e-06 ... 3.86252623e-06
  3.69271811e-06 2.61491687e-06]]"
7,011f25080,18,1,5.6853,3187.5,6.3787,5062.5,"[[1.0474393e-03 5.6392472e-04 6.7560363e-04 ... 6.1506586e-04
  6.6090515e-04 4.6771622e-04]
 [1.3547252e-03 5.7177868e-04 6.6757167e-04 ... 6.6410762e-04
  7.1415963e-04 4.6923172e-04]
 [2.5838693e-03 6.0319446e-04 6.3544390e-04 ... 8.6027448e-04
  9.2717778e-04 4.7529367e-04]
 ...
 [2.8374797e-07 2.8928093e-07 4.2362851e-07 ... 1.3172562e-06
  8.9739700e-07 5.0989007e-07]
 [2.0734727e-07 2.4256116e-07 2.8384278e-07 ... 7.9239555e-07
  5.6556416e-07 3.9759033e-07]
 [1.8824714e-07 2.3088120e-07 2.4889630e-07 ... 6.6118037e-07
  4.8260597e-07 3.6951539e-07]]"
8,015113cad,15,1,50.0533,93.75,53.3973,1125.0,"[[2.32708603e-01 1.38892025e-01 4.31258902e-02 ... 7.28977099e-02
  7.08919242e-02 8.45215172e-02]
 [2.48423234e-01 1.51425228e-01 4.80095372e-02 ... 8.09599906e-02
  8.18891972e-02 9.73446593e-02]
 [3.11281800e-01 2.01557949e-01 6.75441325e-02 ... 1.13209106e-01
  1.25878289e-01 1.48637205e-01]
 ...
 [3.68681591e-04 4.86647303e-04 4.26023325e-04 ... 4.69204644e-03
  4.36733058e-03 4.46918159e-04]
 [3.18950712e-04 3.61337967e-04 3.48620844e-04 ... 3.24562634e-03
  2.67620105e-03 3.08429677e-04]
 [3.06518021e-04 3.30010633e-04 3.29270202e-04 ... 2.88402126e-03
  2.25341879e-03 2.73807556e-04]]"
9,0151b7d20,1,1,46.032,3843.75,46.928,5625.0,"[[3.8710642e-03 6.1322935e-03 2.1026393e-03 ... 3.2454475e-03
  1.3316704e-03 2.4736600e-03]
 [4.0642396e-03 6.4267023e-03 2.3628543e-03 ... 3.4084029e-03
  1.5005050e-03 2.6967190e-03]
 [4.8369421e-03 7.6043382e-03 3.4037142e-03 ... 4.0602242e-03
  2.1758433e-03 3.5889552e-03]
 ...
 [1.2243147e-06 9.1164821e-07 7.5196920e-07 ... 1.6730983e-06
  1.5695426e-06 9.4925906e-07]
 [9.7263455e-07 7.1074203e-07 4.8170818e-07 ... 1.4332480e-06
  1.6320173e-06 7.3666052e-07]
 [9.0971474e-07 6.6051535e-07 4.1414268e-07 ... 1.3732855e-06
  1.6476359e-06 6.8351102e-07]]"
